id_hecho,titulo,descripcion,categoria,latitud,longitud,fecha_del_hecho
1,Vandalismo en un barrio residencial en plena hora pico 62443766,"Un hecho de vandalismo ocurrió en una estación de servicio en la calle Diagonal Río Negro, durante el fin de semana, según testigos.",Vandalismo,-34.609116,-58.497626,12/6/2023
2,Violencia de género en el centro de la ciudad en plena noche 55070612,"Un hecho de violencia de género fue captado por cámaras en las afueras en la calle Av. Santa Cruz, en un día lluvioso, según testigos.",Violencia de género,-34.651654,-58.473576,7/2/2025
3,Homicidio en las afueras al amanecer 50348987,"Un hecho de homicidio generó intervención policial en un supermercado en la calle Av. 140 A, en un día lluvioso, según testigos.",Homicidio,-34.647296,-58.496432,21/4/2025
4,Hurto en una zona turística en un día lluvioso 99361956,"Un hecho de hurto motivó una llamada al 911 en un parque público en la calle Calle 8, por la mañana, según testigos.",Hurto,-34.621369,-58.352412,6/1/2021
5,Homicidio en un supermercado al amanecer 65693142,"Un hecho de homicidio fue investigado en el centro de la ciudad en la calle Boulevard 1, a media tarde, según testigos.",Homicidio,-34.603991,-58.50274,20/5/2020
6,Allanamiento en una calle transitada en plena hora pico 91186585,"Un hecho de allanamiento fue denunciado en las afueras en la calle Calle J.B. Alberdi, en un día lluvioso, según testigos.",Allanamiento,-34.667726,-58.42373,8/12/2023
7,Allanamiento en las afueras por la mañana 5772004,"Un hecho de allanamiento fue investigado en una estación de servicio en la calle Calle Viedma, en plena noche, según testigos.",Allanamiento,-34.612219,-58.415149,5/7/2024
8,Robo en un parque público por la mañana 91036256,"Un hecho de robo ocurrió en un supermercado en la calle Av. Río Gallegos, en plena noche, según testigos.",Robo,-34.692564,-58.452429,12/7/2020
9,Violencia de género en un parque público durante el fin de semana 31511473,"Un hecho de violencia de género tuvo lugar en el centro de la ciudad en la calle Diagonal Salta, en un día lluvioso, según testigos.",Violencia de género,-34.595476,-58.354622,22/5/2024
10,Corrupción en una zona turística en plena noche 16567088,"Un hecho de corrupción fue investigado en un parque público en la calle Avenida Comodoro Rivadavia, en plena hora pico, según testigos.",Corrupción,-34.69493,-58.516308,5/4/2025
11,Amenaza en un supermercado en plena noche 625240,"Un hecho de amenaza fue investigado en una zona turística en la calle Diagonal G. Brown, al amanecer, según testigos.",Amenaza,-34.61826,-58.39374,14/3/2022
12,Allanamiento en una zona turística en plena temporada de vacaciones 61565979,"Un hecho de allanamiento se registró en un barrio residencial en la calle Calle 2, a media tarde, según testigos.",Allanamiento,-34.615787,-58.409166,19/11/2023
13,Allanamiento en un barrio residencial por la mañana 94612173,"Un hecho de allanamiento fue reportado en el centro de la ciudad en la calle Diag. Malvinas Argentinas, en plena temporada de vacaciones, según testigos.",Allanamiento,-34.668641,-58.497962,7/12/2023
14,Vandalismo en una zona turística al amanecer 38286139,"Un hecho de vandalismo tuvo lugar en una calle transitada en la calle Diagonal Pte. Perón, en plena hora pico, según testigos.",Vandalismo,-34.682049,-58.511515,5/8/2023
15,Delito informático en el centro de la ciudad por la mañana 78852164,"Un hecho de delito informático motivó una llamada al 911 en las afueras en la calle Av. 147 A, en un día lluvioso, según testigos.",Delito informático,-34.597609,-58.366946,23/2/2023
16,Hurto en un barrio residencial en plena hora pico 74240593,"Un hecho de hurto tuvo lugar en un supermercado en la calle Av. Santa Cruz, en plena hora pico, según testigos.",Hurto,-34.619851,-58.477848,19/6/2020
17,Hurto en las afueras en plena noche 89188685,"Un hecho de hurto se detectó en un barrio residencial en la calle Av. 1, por la mañana, según testigos.",Hurto,-34.662669,-58.397931,6/4/2021
18,Amenaza en un barrio residencial en plena temporada de vacaciones 70220424,"Un hecho de amenaza se detectó en las afueras en la calle Diagonal Alem, en plena noche, según testigos.",Amenaza,-34.676855,-58.414865,15/12/2020
19,Vandalismo en un supermercado en un día lluvioso 18739699,"Un hecho de vandalismo fue captado por cámaras en una calle transitada en la calle Av. San Juan, al amanecer, según testigos.",Vandalismo,-34.697277,-58.35241,26/10/2023
